modern_usage,subject_idx,source_lang,source_lemma,glosses,n_bucket_mates,avg_cosine_to_mates,min_cosine_to_mate,max_cosine_to_mate,other_bucket_lemmas
-mana,735,celtic_mix,Mana,Isle of Man (an island of the British Isles),1,0.4154,0.4154,0.4154,celtic_mix:mana
-mana,3301,celtic_mix,mana,"portent, sign",1,0.4154,0.4154,0.4154,celtic_mix:Mana
Mana-,735,celtic_mix,Mana,Isle of Man (an island of the British Isles),1,0.4154,0.4154,0.4154,celtic_mix:mana
Mana-,3301,celtic_mix,mana,"portent, sign",1,0.4154,0.4154,0.4154,celtic_mix:Mana
-roc,3383,celtic_mix,roc,ray (fish),1,0.4161,0.4161,0.4161,old_french:roc
-roc,3446,old_french,roc,rook,1,0.4161,0.4161,0.4161,celtic_mix:roc
-albe-,1382,old_english,albe,an alb (type of priest vestment),1,0.4174,0.4174,0.4174,old_french:albe
-albe-,2000,old_french,albe,dawn (sunrise; start of the day),1,0.4174,0.4174,0.4174,old_english:albe
Albe-,1382,old_english,albe,an alb (type of priest vestment),1,0.4174,0.4174,0.4174,old_french:albe
Albe-,2000,old_french,albe,dawn (sunrise; start of the day),1,0.4174,0.4174,0.4174,old_english:albe
-cent-,745,old_english,Cent,Kent (a historic region of Britain),1,0.4208,0.4208,0.4208,old_french:cent
-cent-,3119,old_french,cent,one hundred,1,0.4208,0.4208,0.4208,old_english:Cent
-cent,745,old_english,Cent,Kent (a historic region of Britain),1,0.4208,0.4208,0.4208,old_french:cent
-cent,3119,old_french,cent,one hundred,1,0.4208,0.4208,0.4208,old_english:Cent
-halt-,767,modern_english,halt,"Limping, lame, crippled.",1,0.4223,0.4223,0.4223,old_french:halt
-halt-,2586,old_french,halt,high; elevated,1,0.4223,0.4223,0.4223,modern_english:halt
Halt-,767,modern_english,halt,"Limping, lame, crippled.",1,0.4223,0.4223,0.4223,old_french:halt
Halt-,2586,old_french,halt,high; elevated,1,0.4223,0.4223,0.4223,modern_english:halt
Mell-,2030,celtic_mix,mell,"destruction, confusion",2,0.4238,0.3683,0.4792,
-real-,3386,modern_english,real,"real, true, factual",1,0.4252,0.4252,0.4252,old_french:real
-real-,3471,old_french,real,royal; alternative form of roial,1,0.4252,0.4252,0.4252,modern_english:real
-real,3386,modern_english,real,"real, true, factual",1,0.4252,0.4252,0.4252,old_french:real
-real,3471,old_french,real,royal; alternative form of roial,1,0.4252,0.4252,0.4252,modern_english:real
-aile-,1841,celtic_mix,aile,clamp (pile of agricultural produce such as root vegetables or silage stored under a layer of earth or an airtight sheet),3,0.4253,0.4131,0.4456,old_french:aile
-aile,1841,celtic_mix,aile,clamp (pile of agricultural produce such as root vegetables or silage stored under a layer of earth or an airtight sheet),3,0.4253,0.4131,0.4456,old_french:aile
-mire,801,modern_english,mire,Marshy or swampy land; a mire or peat.,1,0.4258,0.4258,0.4258,celtic_mix:mire
-mire,3359,celtic_mix,mire,"quickness, rapidity",1,0.4258,0.4258,0.4258,modern_english:mire
-hund-,3119,modern_english,hund,one hundred,1,0.4266,0.4266,0.4266,old_english:hund
-hund-,4400,old_english,hund,Dog | Hound | dog,1,0.4266,0.4266,0.4266,modern_english:hund
Hund-,3119,modern_english,hund,one hundred,1,0.4266,0.4266,0.4266,old_english:hund
Hund-,4400,old_english,hund,Dog | Hound | dog,1,0.4266,0.4266,0.4266,modern_english:hund
-cote-,99,modern_english,cote,"A coat, especially if worn as an undergarment.",1,0.4273,0.4273,0.4273,
-cote-,110,modern_english,cote,A cottage or hut.,1,0.4273,0.4273,0.4273,
-cote,99,modern_english,cote,"A coat, especially if worn as an undergarment.",1,0.4273,0.4273,0.4273,
-cote,110,modern_english,cote,A cottage or hut.,1,0.4273,0.4273,0.4273,
Cote-,99,modern_english,cote,"A coat, especially if worn as an undergarment.",1,0.4273,0.4273,0.4273,
Cote-,110,modern_english,cote,A cottage or hut.,1,0.4273,0.4273,0.4273,
-dam-,1988,modern_english,dam,dam (structure to block water),2,0.4278,0.4278,0.4278,celtic_mix:dam
-dam,1988,modern_english,dam,dam (structure to block water),2,0.4278,0.4278,0.4278,celtic_mix:dam
Dam-,1988,modern_english,dam,dam (structure to block water),2,0.4278,0.4278,0.4278,celtic_mix:dam
-col-,1757,modern_english,col,"cabbage, kale, colewort",5,0.4283,0.3587,0.4852,celtic_mix:col; old_french:col
Col-,1757,modern_english,col,"cabbage, kale, colewort",5,0.4283,0.3587,0.4852,celtic_mix:col; old_french:col
Tan-,3856,celtic_mix,tan,time,2,0.4285,0.4003,0.4568,modern_english:tan; old_french:tan
-tor,1749,celtic_mix,tor,"bush, shrub; clump, tuft",1,0.4294,0.4294,0.4294,old_french:tor
-tor,4000,old_french,tor,tower,1,0.4294,0.4294,0.4294,celtic_mix:tor
-ore-,3088,modern_english,ore,oar (lever for propelling a boat),2,0.4302,0.4132,0.4472,old_english:ore; old_french:ore
-ore,3088,modern_english,ore,oar (lever for propelling a boat),2,0.4302,0.4132,0.4472,old_english:ore; old_french:ore
Ore-,3088,modern_english,ore,oar (lever for propelling a boat),2,0.4302,0.4132,0.4472,old_english:ore; old_french:ore
-tit-,1014,celtic_mix,Tit,Titus,1,0.4302,0.4302,0.4302,celtic_mix:tit
-tit-,3899,celtic_mix,tit,"to fall, drop, come down",1,0.4302,0.4302,0.4302,celtic_mix:Tit
Tit-,1014,celtic_mix,Tit,Titus,1,0.4302,0.4302,0.4302,celtic_mix:tit
Tit-,3899,celtic_mix,tit,"to fall, drop, come down",1,0.4302,0.4302,0.4302,celtic_mix:Tit
-ros-,262,celtic_mix,ros,A promontory.,2,0.4304,0.429,0.4318,
-ros,262,celtic_mix,ros,A promontory.,2,0.4304,0.429,0.4318,
Ros-,262,celtic_mix,ros,A promontory.,2,0.4304,0.429,0.4318,
-ore-,3078,old_french,ore,now,2,0.4308,0.4144,0.4472,modern_english:ore; old_english:ore
-ore,3078,old_french,ore,now,2,0.4308,0.4144,0.4472,modern_english:ore; old_english:ore
Ore-,3078,old_french,ore,now,2,0.4308,0.4144,0.4472,modern_english:ore; old_english:ore
-grind-,975,modern_english,grind,The function of chewing.,1,0.4312,0.4312,0.4312,old_scandinavian:grind
-grind-,1148,old_scandinavian,grind,a gate made of spars or bars,1,0.4312,0.4312,0.4312,modern_english:grind
Grind-,975,modern_english,grind,The function of chewing.,1,0.4312,0.4312,0.4312,old_scandinavian:grind
Grind-,1148,old_scandinavian,grind,a gate made of spars or bars,1,0.4312,0.4312,0.4312,modern_english:grind
-pan-,854,modern_english,Pan,Pan (Greek god),1,0.4321,0.4321,0.4321,old_french:pan
-pan-,1586,old_french,pan,bit; piece; part,1,0.4321,0.4321,0.4321,modern_english:Pan
Pan-,854,modern_english,Pan,Pan (Greek god),1,0.4321,0.4321,0.4321,old_french:pan
Pan-,1586,old_french,pan,bit; piece; part,1,0.4321,0.4321,0.4321,modern_english:Pan
-sol-,1361,old_french,sol,alone,2,0.4326,0.3452,0.52,modern_english:sol; old_english:sol
Sol-,1361,old_french,sol,alone,2,0.4326,0.3452,0.52,modern_english:sol; old_english:sol
Cop-,3668,celtic_mix,cop,spider,1,0.4327,0.4327,0.4327,modern_english:cop
Cop-,3750,modern_english,cop,summit (of a mountain or hill),1,0.4327,0.4327,0.4327,celtic_mix:cop
-sien,3310,old_english,sien,"power of sight, vision",1,0.433,0.433,0.433,old_french:sien
-sien,3833,old_french,sien,third-person singular possessive pronoun,1,0.433,0.433,0.433,old_english:sien
-ben-,1788,celtic_mix,ben,"cart, wagon",2,0.4334,0.418,0.4488,old_scandinavian:ben
Ben-,1788,celtic_mix,ben,"cart, wagon",2,0.4334,0.418,0.4488,old_scandinavian:ben
-mart-,795,celtic_mix,Mart,March,1,0.4335,0.4335,0.4335,celtic_mix:mart
-mart-,2557,celtic_mix,mart,heifer or bullock carcass,1,0.4335,0.4335,0.4335,celtic_mix:Mart
-mart,795,celtic_mix,Mart,March,1,0.4335,0.4335,0.4335,celtic_mix:mart
-mart,2557,celtic_mix,mart,heifer or bullock carcass,1,0.4335,0.4335,0.4335,celtic_mix:Mart
Mart-,795,celtic_mix,Mart,March,1,0.4335,0.4335,0.4335,celtic_mix:mart
Mart-,2557,celtic_mix,mart,heifer or bullock carcass,1,0.4335,0.4335,0.4335,celtic_mix:Mart
-scot-,3195,modern_english,scot,payment,2,0.4337,0.3909,0.4765,celtic_mix:Scot; old_english:scot
Scot-,3195,modern_english,scot,payment,2,0.4337,0.3909,0.4765,celtic_mix:Scot; old_english:scot
-eli-,1179,old_english,Eli,a male given name,1,0.4342,0.4342,0.4342,celtic_mix:eli
-eli-,3108,celtic_mix,eli,"ointment, balm, lotion",1,0.4342,0.4342,0.4342,old_english:Eli
Eli-,1179,old_english,Eli,a male given name,1,0.4342,0.4342,0.4342,celtic_mix:eli
Eli-,3108,celtic_mix,eli,"ointment, balm, lotion",1,0.4342,0.4342,0.4342,old_english:Eli
-mol-,3887,celtic_mix,mol,"to commend, nominate, propose, praise, recommend, suggest",2,0.4351,0.3757,0.4944,
Mol-,3887,celtic_mix,mol,"to commend, nominate, propose, praise, recommend, suggest",2,0.4351,0.3757,0.4944,
-ing,53,old_english,-ing,"""at the"" | ""of the"" | Dairy farm | Herd farm | Possessive indication | Settlement | a water-meadow | descendants | descendants of | dwellers in | enclosure; place characterized by | family, descendants | grassland | having to do with | home of the sons of | meadow | meadow, pasture | meadow, water meadow, ing | of, belonging to | patronymic suffix | people | people of | place of the sons of | place of, associated with | son of | sons | sons (or family, or tribe) | sons of | sons of, home of | sons of, tribe of | sons of; or water-meadow | sons or family | stream | water-meadow",1,0.4354,0.4354,0.4354,celtic_mix:ing
-ing,1400,celtic_mix,ing,"anguish, angst",1,0.4354,0.4354,0.4354,old_english:-ing
-wer-,1225,modern_english,wer,"a man, a husband",1,0.4357,0.4357,0.4357,old_english:wer
-wer-,4616,old_english,wer,Weir (fishing enclosure) | man,1,0.4357,0.4357,0.4357,modern_english:wer
-wer,1225,modern_english,wer,"a man, a husband",1,0.4357,0.4357,0.4357,old_english:wer
-wer,4616,old_english,wer,Weir (fishing enclosure) | man,1,0.4357,0.4357,0.4357,modern_english:wer
Wer-,1225,modern_english,wer,"a man, a husband",1,0.4357,0.4357,0.4357,old_english:wer
Wer-,4616,old_english,wer,Weir (fishing enclosure) | man,1,0.4357,0.4357,0.4357,modern_english:wer
