category	language	canonical_form	etymon_id_or_suspected_fix
INTENTIONAL_sense_suffix	middle-english	te#Etymology 6	etymon_id=449754
INTENTIONAL_sense_suffix	old-english	an#Etymology_1_4	etymon_id=3243069
INTENTIONAL_sense_suffix	old-english	beorg#Etymology_2	etymon_id=3178643
INTENTIONAL_sense_suffix	old-english	bol#hill	etymon_id=4617245
INTENTIONAL_sense_suffix	old-english	bol#tree	etymon_id=4617246
INTENTIONAL_sense_suffix	old-english	byre#Etymology_5	etymon_id=602977
INTENTIONAL_sense_suffix	old-english	en#Etymology 6	etymon_id=3132737
INTENTIONAL_sense_suffix	old-english	fāh#Etymology 2	etymon_id=2965230
INTENTIONAL_sense_suffix	old-english	mān#Etymology_3_5	etymon_id=3201189
INTENTIONAL_sense_suffix	old-english	mǣġþ#Etymology 2	etymon_id=939015
INTENTIONAL_sense_suffix	old-english	rima#Old English	etymon_id=3206061
INTENTIONAL_sense_suffix	old-english	scot#scots	etymon_id=4617243
INTENTIONAL_sense_suffix	old-english	scot#shot	etymon_id=4617244
INTENTIONAL_sense_suffix	old-english	slīþe#Etymology 2	etymon_id=3246847
INTENTIONAL_sense_suffix	old-english	sæl#Etymology_2_2	etymon_id=3139027
INTENTIONAL_sense_suffix	old-english	ung#Old English	etymon_id=3206067
INTENTIONAL_sense_suffix	old-english	wrang#Etymology_2_2	etymon_id=330824
INTENTIONAL_sense_suffix	old-english	wyrt#Etymology_2	etymon_id=3209832
INTENTIONAL_sense_suffix	old-norse	gall#bare	etymon_id=4617242
INTENTIONAL_sense_suffix	old-norse	gall#foreigner	etymon_id=4617241
INTENTIONAL_sense_suffix	old-norse	lum#diver	etymon_id=4617240
INTENTIONAL_sense_suffix	old-norse	lum#pool	etymon_id=4617239
CORRUPTION_lettersub	old-english	grcef	suspected=grǣf (grove)
CORRUPTION_lettersub	old-english	grdfe	suspected=grǣfe (grove)
CORRUPTION_lettersub	old-english	hdr	suspected=hār (boundary)
CORRUPTION_lettersub	old-english	dcel	suspected=dæl (valley)
CORRUPTION_lettersub	old-english	stdn	suspected=stān (stone)
CORRUPTION_lettersub	old-english	nlwe	suspected=niwe (new)
CORRUPTION_lettersub	old-english	hdm	suspected=hām (home)
CORRUPTION_lettersub	old-english	hldw	suspected=hlāw (hill)
CORRUPTION_lettersub	brittonic	crṻg	suspected=crug (hill/mound)
CORRUPTION_lettersub	brittonic	eglẹ̄s	suspected=eglēs (church)
CORRUPTION_lettersub	old-english	pqth	suspected=pæth (path); twin_exists=False
CORRUPTION	old-english	reeth	suspected=? (gloss 'enclosure'; no obvious twin — human triage)
CORRUPTION_lettersub	old-english	wtc	suspected=wīc (dwelling); collapsed fire#19
CORRUPTION_lettersub	old-english	wlc	suspected=wīc (dwelling); collapsed fire#19
CORRUPTION_lettersub	old-norse	hdkon	suspected=Hákon; collapsed fire#21
CORRUPTION_lettersub	old-norse	hdr	suspected=hár (high); collapsed fire#21
CORRUPTION	old-norse	authn	suspected=auðn (waste land); NO twin in DB — human triage
CORRUPTION_lettersub	old-norse	skégr	suspected=skogr (grove); collapsed fire#22
CORRUPTION	old-norse	ndttfari	suspected=náttfari; NO twin in DB — human triage
CORRUPTION_lettersub	old-norse	pveit	suspected=þveit (clearing); twin exists but pveit ENRICHED this fire — defer collapse pending apply_collapses verification
CORRUPTION	germanic	e6d	suspected=ēad/ead (road); '6' OCR for a letter — reflexed 'road', human triage
CORRUPTION	goidelic	a?	suspected=? ('?' literal in form) — junk, human triage
CORRUPTION	modern-english	lmbeald	suspected OE -beald personal name (lm- garble, no clear twin in DB) — human triage
CORRUPTION	old-english	*gzfl	junk/no-twin (z,f,l consonant cluster, leading *) — human triage
CORRUPTION	old-english	/edh	leading-slash garble of -edh/eð pasture element — human triage
CORRUPTION	old-english	H)rencga	leading 'H)' paren-garble of a Hrenc-/Reng- personal name (→Rangeworthy) — human triage
CORRUPTION_lettersub	old-english	bldc	letter-sub of blæc (black/pale); 'd' for 'æ' OCR — potential collapse into blæc, human verify
CORRUPTION_lettersub	old-english	bopltun	garble of boltun (Bolton); 'pl' inserted — potential collapse into boltun, human verify
CORRUPTION_lettersub	old-english	dcen	letter-sub of æcen (oaken/of-oak); 'dc' for 'æc' OCR — reflexed 'oaken', potential collapse into æcen, human verify
CORRUPTION_lettersub	old-english	dr$ge	'$' OCR junk for drȳge (dry); potential collapse into drȳge/dryge, human verify
CORRUPTION_lettersub	old-english	flexcca	letter-sub of flecca (hurdle); 'x' insertion — potential collapse into flecca, human verify
CORRUPTION	old-english	geha>ge	'>' OCR junk in gehæge (fenced-in enclosure) — potential collapse into gehæge, human verify
CORRUPTION_lettersub	old-english	grceg	letter-sub of grǣg (gray); 'ce' for 'ǣ' OCR — reflexed 'gray', potential collapse into grǣg, human verify
CORRUPTION_lettersub	old-english	lln	letter-sub of lin (flax); 'ln' for 'in' OCR — potential collapse into lin, human verify
CORRUPTION_lettersub	old-english	m#d	'#' OCR junk in mēd (meadow) — potential collapse into mēd/mæd, human verify
CORRUPTION	old-english	p&&	'&&' OCR junk in pæð/path; reflexed 'peth' — potential collapse into pæð/path, human verify
CORRUPTION	old-english	st&n	'&' OCR junk in stān (stone); reflexed 'ston' — definite collapse into stān (major morpheme), human verify
CORRUPTION	old-norse	bro&ir	'&' OCR junk in bróðir (brother); reflexed 'brother' — potential collapse into bróðir (twin in DB), human verify
NOTE	old-english	bopltun	collapse-validate: no 'boltun' twin in DB — NOT collapsed, human triage (maybe boltūn or drop)
NOTE	old-english	flexcca	collapse-validate: no 'flecca' twin (only 'fleca') — NOT collapsed, human triage
continental-germanic:Personal-name	NOTE	parser-artifact: literal placeholder "Personal-name" stored as a morpheme — junk, no twin; human delete
celtic:gap	NOTE	suspect mis-parsed gloss (heath-hens) — verify form/gloss attribution; human triage
celtic:gat	NOTE	suspect mis-parsed gloss (hangmen) — verify form/gloss attribution; human triage
celtic:gark	NOTE	suspect mis-parsed gloss (heath-hens) — verify form/gloss attribution; human triage
old-english:6j^	CORRUPTION	OCR junk "6j^" gloss=cow-byre — no recoverable twin; human triage/delete
old-english:grcef	NOTE	collapse-validate: suspected twin grǣf resolves to no etymon — human triage
brittonic:crṻg	NOTE	collapse-validate: suspected twin crug resolves to no etymon — human triage
