language,morpheme_id,form,modern_usage,gloss
celtic_mix,celtic:cearr,cearr,cearr,"Bend, Bent, Crooked"
celtic_mix,celtic:cevn,cevn,Ken,"Brow, Ridge"
celtic_mix,celtic:cevn,cevn,Shev,"Brow, Ridge"
celtic_mix,celtic:chairce,chairce,carky,Oats
celtic_mix,celtic:chaisil,chaisil,gashel,"Fort, Fortress mound, Stronghold"
celtic_mix,celtic:chaonaigh,chaonaigh,keeny,"Lichen, Moss"
celtic_mix,celtic:cheo,cheo,cheo,Mist
celtic_mix,celtic:chladaigh,chladaigh,clady,"Bank, Shore, Strand"
celtic_mix,celtic:chléithe,chléithe,chleithe,Wattle
celtic_mix,celtic:choilleadh,choilleadh,Kelly,"Forest, Grove, Wood"
celtic_mix,celtic:choire,choire,curry,Cauldron
celtic_mix,celtic:choll,choll,choll,Hazel tree
celtic_mix,celtic:chorráin,chorráin,curran,Sickle
celtic_mix,celtic:chraosaigh,chraosaigh,creasig,Glutton
celtic_mix,celtic:chuillinn,chuillinn,cullen,"Hill slope, Hillside"
celtic_mix,celtic:chéir,chéir,kere,Candle
celtic_mix,celtic:claene,claene,claene,"Clean, Clear, Pure"
celtic_mix,celtic:clarus,clarus,Clarus,Cleer (Name)]
celtic_mix,celtic:cleacán,cleacán,Clare,Plain
celtic_mix,celtic:cleacán,cleacán,Leck,Plain
celtic_mix,celtic:cliora,cliora,cliora,Pasture
celtic_mix,celtic:clochog,clochog,Clack,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:clochog,clochog,Clogh,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:clochog,clochog,clochog,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:cogaidh,cogaidh,cogue,War
celtic_mix,celtic:collachair,collachair,colliher,Hazel tree
celtic_mix,celtic:collachair,collachair,collogher,Hazel tree
celtic_mix,celtic:colm cille,colm cille,Columb,Columb (Name)
celtic_mix,celtic:colm cille,colm cille,Columba,Columb (Name)
celtic_mix,celtic:conarta,conarta,conrath,"Dog, Hound"
celtic_mix,celtic:conarta,conarta,cun,"Dog, Hound"
celtic_mix,celtic:cora,cora,curra,Weir (fishing enclosure)
celtic_mix,celtic:critheann,critheann,critheann,Aspen tree
celtic_mix,celtic:croabh,croabh,chrew,Tree (unspecified)
celtic_mix,celtic:croabh,croabh,cruvie,Tree (unspecified)
celtic_mix,celtic:croes,croes,Cros,"Cross (holy symbol), Cross roads"
celtic_mix,celtic:croes,croes,Cross,"Cross (holy symbol), Cross roads"
celtic_mix,celtic:croes,croes,Groes,"Cross (holy symbol), Cross roads"
celtic_mix,celtic:crois,crois,gross,"Cross (holy symbol), Cross roads"
celtic_mix,celtic:crug,crug,crug,Hill
celtic_mix,celtic:crüg,crüg,crug,"Barrow, Tumulus"
celtic_mix,celtic:cuach,cuach,Cook,Cuckoo
celtic_mix,celtic:cuach,cuach,coogh,Cuckoo
celtic_mix,celtic:cuach,cuach,cuik,Cuckoo
celtic_mix,celtic:cuileann,cuileann,Cul,Holly
celtic_mix,celtic:cuileann,cuileann,cullen,Holly
celtic_mix,celtic:cuileann,cuileann,whillan,Holly
celtic_mix,celtic:cuinge,cuinge,cung,Yoke
celtic_mix,celtic:currach,currach,Curragh,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:currach,currach,curry,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:cuíl,cuíl,Cool,Nook of land
celtic_mix,celtic:càrr,càrr,Car,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:càrr,càrr,car,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:cēd,cēd,Chea,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,Cheet,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,Chet,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,cheth,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,coe,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,keth,"Forest, Grove, Wood"
celtic_mix,celtic:cēd,cēd,keth,"Forest, Grove, Wood"
celtic_mix,celtic:dara,dara,Daar,"Oak grove, Oak tree"
celtic_mix,celtic:dara,dara,Derreen,"Oak grove, Oak tree"
celtic_mix,celtic:dara,dara,Derry,"Oak grove, Oak tree"
celtic_mix,celtic:dara,dara,dare,"Oak grove, Oak tree"
celtic_mix,celtic:dara,dara,derry,"Oak grove, Oak tree"
celtic_mix,celtic:dealga,dealga,dealga,Thorn tree
celtic_mix,celtic:dhubh,dhubh,Dhu,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,Dow,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,Dub,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,Dubh,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,Duff,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,doo,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,dubh,"Black, Dark"
celtic_mix,celtic:dhubh,dhubh,duff,"Black, Dark"
celtic_mix,celtic:dierne,dierne,Durn,Hidden
celtic_mix,celtic:domhnach,domhnach,Dona,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:domhnach,domhnach,Donagh,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:domhnach,domhnach,downey,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:dorais,dorais,drish,Door
celtic_mix,celtic:draigneach,draigneach,dreenaugh,"Blackthorn tree, Sloe"
celtic_mix,celtic:driseog,driseog,drishoge,"Brambles, Brush, Brush wood, Bush land, Heath, Shrubbery"
celtic_mix,celtic:droichead,droichead,Droich,Bridge
celtic_mix,celtic:droim,droim,Drom,"Brow, Ridge"
celtic_mix,celtic:droim,droim,Drum,"Brow, Ridge"
celtic_mix,celtic:droim,droim,drum,"Brow, Ridge"
celtic_mix,celtic:drïs,drïs,dern,Thorn tree
celtic_mix,celtic:dtarbh,dtarbh,darriv,"Bull, Calf, Cattle, Cow, Heifer, Steer"
celtic_mix,celtic:dtorc,dtorc,dork,"Boar, Hog, Pig, Pig sty"
celtic_mix,celtic:duibhinn,duibhinn,duibhinn,"Chief, Jarl"
celtic_mix,celtic:dumbel,dumbel,Dumble,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:dumha,dumha,Doo,"Burial mound, Cairn"
celtic_mix,celtic:dumha,dumha,Toem,"Burial mound, Cairn"
celtic_mix,celtic:dwy,dwy,Dwy,Two
celtic_mix,celtic:dá,dá,Du,Two
celtic_mix,celtic:dín,dín,deen,"Brook, River, Stream"
celtic_mix,celtic:díseart,díseart,Desert,"Hermit, Hermitage"
celtic_mix,celtic:díseart,díseart,Dyser,"Hermit, Hermitage"
celtic_mix,celtic:dôl,dôl,Dal,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:dôl,dôl,dale,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:dùbhlaidh,dùbhlaidh,dubhlaidh,"Black, Dark"
celtic_mix,celtic:eglos,eglos,eglos,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:eich,eich,eigh,"Foal, Horse, Stud"
celtic_mix,celtic:eidhneach,eidhneach,iny,Ivy
celtic_mix,celtic:eilean,eilean,ellen,Island
celtic_mix,celtic:eisc,eisc,Esk,"Gravel, Gravelly"
celtic_mix,celtic:elri,elri,Eller,Alder tree
celtic_mix,celtic:elri,elri,Orle,Alder tree
celtic_mix,celtic:etisc,etisc,tish,Pasture
celtic_mix,celtic:faiche,faiche,Faha,"Green, Village green"
celtic_mix,celtic:faiche,faiche,feigh,"Green, Village green"
celtic_mix,celtic:feadag,feadag,fettack,Plover
celtic_mix,celtic:fearnáin,fearnáin,arney,Alder tree
celtic_mix,celtic:fearnáin,fearnáin,farne,Alder tree
celtic_mix,celtic:fearnáin,fearnáin,fearn,Alder tree
celtic_mix,celtic:fearsad,fearsad,Fars,Sandbank
celtic_mix,celtic:fforest,fforest,fforest,"Forest, Grove, Wood"
celtic_mix,celtic:fhia,fhia,eigh,"Deer, Hind, Stag"
celtic_mix,celtic:fhir mhoír,fhir mhoír,firmor,"Big man, Giant"
celtic_mix,celtic:fhuar,fhuar,ur,"Cold, Cool"
celtic_mix,celtic:fiacal,fiacal,feakle,Teeth
celtic_mix,celtic:firth,firth,Firth,"Bay, Cove, Fjord, Harbor, Sea inlet"
celtic_mix,celtic:firth,firth,firth,"Bay, Cove, Fjord, Harbor, Sea inlet"
celtic_mix,celtic:fliuch,fliuch,flugh,West
celtic_mix,celtic:foithir,foithir,Fetter,Thicket
celtic_mix,celtic:fola,fola,fulla,Blood
celtic_mix,celtic:fosgadh,fosgadh,foskie,"Refuge, Retreat, Sanctuary, Shelter"
celtic_mix,celtic:foter,foter,foter,"Lower, Under, beneath"
celtic_mix,celtic:fraoigh,fraoigh,Freagh,Heather
celtic_mix,celtic:fraoigh,fraoigh,free,Heather
celtic_mix,celtic:fraoigh,fraoigh,fries,Heather
celtic_mix,celtic:frome,frome,frome,"Beneficial, Fair, Good"
celtic_mix,celtic:fáoda,fáoda,Fee,"Forest, Grove, Wood"
celtic_mix,celtic:fáoda,fáoda,Fid,"Forest, Grove, Wood"
celtic_mix,celtic:gabhra,gabhra,gore,Goat
celtic_mix,celtic:gabhra,gabhra,gowr,Goat
celtic_mix,celtic:gall,gall,gall,"Marking stone, Rock, Stone, Stony, Stranger"
celtic_mix,celtic:garraí,garraí,Garry,Garden
celtic_mix,celtic:garrán,garrán,garran,"Forest, Grove, Wood"
celtic_mix,celtic:gcadhan,gcadhan,goyne,Duck
celtic_mix,celtic:gcaor,gcaor,geer,"Berries, Berry"
celtic_mix,celtic:gcaorach,gcaorach,geary,"Lamb, Ram, Sheep"
celtic_mix,celtic:gcaorach,gcaorach,geeragh,"Lamb, Ram, Sheep"
celtic_mix,celtic:gcaorach,gcaorach,keeragh,"Lamb, Ram, Sheep"
celtic_mix,celtic:gcapall,gcapall,gappul,"Foal, Horse, Stud"
celtic_mix,celtic:gcarn,gcarn,garn,"Burial mound, Cairn"
celtic_mix,celtic:gceall,gceall,gall,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:gcnámh,gcnámh,gnave,Bone
celtic_mix,celtic:gcorp,gcorp,gorp,Corpse
celtic_mix,celtic:geata,geata,Gath,"Gap, Gate"
celtic_mix,celtic:geata,geata,Yate,"Gap, Gate"
celtic_mix,celtic:ghairr,ghairr,gar,Offal
celtic_mix,celtic:gheise,gheise,gesh,Taboo
celtic_mix,celtic:ghil,ghil,gelly,"Holy, White"
celtic_mix,celtic:ghlas,ghlas,glass,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:ghlas,ghlas,gle,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:ghlasaich,ghlasaich,glassie,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:ghobair,ghobair,gower,"Spring, Well"
celtic_mix,celtic:giuthsach,giuthsach,gussie,Pine tree
celtic_mix,celtic:glan,glan,Glam,"Bank, Shore, Strand"
celtic_mix,celtic:glente,glente,Glent,"Bird of prey, Buzzard, Hawk"
celtic_mix,celtic:glind,glind,Glin,"Fence, Fenced"
celtic_mix,celtic:glind,glind,Glynde,"Fence, Fenced"
celtic_mix,celtic:glinne,glinne,Glen,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:glinne,glinne,glen,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:glinne,glinne,glinn,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:glo,glo,glo,"Charcoal, Coal"
celtic_mix,celtic:gobhan,gobhan,gowan,"Furnace, Smith"
celtic_mix,celtic:gobhan,gobhan,gown,"Furnace, Smith"
celtic_mix,celtic:greanach,greanach,Grenagh,"Gravel, Gravelly"
celtic_mix,celtic:grianán,grianán,Green,"Bright, Shining, Sunny"
celtic_mix,celtic:gro,gro,Gro,"Gravel, Gravelly"
celtic_mix,celtic:grugog,grugog,rugog,Heather
celtic_mix,celtic:gráig,gráig,Graig,"Hamlet, Outlying homestead"
celtic_mix,celtic:gulip,gulip,gulip,"Damp, Wet"
celtic_mix,celtic:gwydhyel,gwydhyel,gwydhyel,"Forest, Grove, Wood"
celtic_mix,celtic:gwyr,gwyr,Gower,Peninsula
celtic_mix,celtic:haut,haut,haut,"High, Important, Noble"
celtic_mix,celtic:hearg,hearg,hearg,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:helygen,helygen,Halkyn,"Osier, Sallow Tree, Willow tree"
celtic_mix,celtic:heorna,heorna,horna,Barley
celtic_mix,celtic:homna,homna,hoimna,"Oak grove, Oak tree"
celtic_mix,celtic:hrycg,hrycg,ridge,"Brow, Ridge"
celtic_mix,celtic:hrycg,hrycg,rigg,"Brow, Ridge"
celtic_mix,celtic:huamha,huamha,huamha,Cave
celtic_mix,celtic:háithe,háithe,haha,Kiln
celtic_mix,celtic:iarainn,iarainn,anierin,Iron
celtic_mix,celtic:iarainn,iarainn,erin,Iron
celtic_mix,celtic:iarainn,iarainn,ierin,Iron
celtic_mix,celtic:iarla,iarla,Earl,Nobleman
celtic_mix,celtic:iarla,iarla,Erle,Nobleman
celtic_mix,celtic:iasc,iasc,eask,"Fish, Fishermen"
celtic_mix,celtic:imleach,imleach,Em,"Border, Borderland, Edge"
celtic_mix,celtic:imleach,imleach,Emlagh,"Border, Borderland, Edge"
celtic_mix,celtic:isca,isca,Axe,Water
celtic_mix,celtic:isca,isca,Esk,Water
celtic_mix,celtic:isca,isca,Exe,Water
celtic_mix,celtic:isca,isca,Usk,Water
celtic_mix,celtic:iubhar,iubhar,iubhar,Yew tree
celtic_mix,celtic:iuir,iuir,York,Yew tree
celtic_mix,celtic:iúir,iúir,our,Tower
celtic_mix,celtic:kelk,kelk,Kilk,"Circle, Ring"
celtic_mix,celtic:kelli,kelli,colla,"Forest, Grove, Wood"
celtic_mix,celtic:kelli,kelli,cul,"Forest, Grove, Wood"
celtic_mix,celtic:kelli,kelli,killew,"Forest, Grove, Wood"
celtic_mix,celtic:kelli,kelli,killy,"Forest, Grove, Wood"
celtic_mix,celtic:labhar,labhar,labhair,"Loud, Noisy"
celtic_mix,celtic:laggan,laggan,Lag,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laggan,laggan,Laggan,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laggan,laggan,lag,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laig,laig,Lag,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laig,laig,Laggan,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laig,laig,Leg,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laig,laig,Leggs,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:laig,laig,lag,"Dale, Hollow, Vale, Valley"
celtic_mix,celtic:lathaigh,lathaigh,lathaigh,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:lathaí,lathaí,loy,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:leaba,leaba,Laba,"Grave, Pit, Quarry"
celtic_mix,celtic:leaba,leaba,Labba,"Grave, Pit, Quarry"
celtic_mix,celtic:leabhar,leabhar,leabhar,Book
celtic_mix,celtic:leacach,leacach,Lick,Flagstone
celtic_mix,celtic:leacan,leacan,lacken,"Hill slope, Hillside"
celtic_mix,celtic:leamháin,leamháin,Lim,Elm tree
celtic_mix,celtic:leamháin,leamháin,Lym,Elm tree
celtic_mix,celtic:leathan,leathan,lehan,"Broad, Wide"
celtic_mix,celtic:leathoir,leathoir,leathoir,"Slant, Slope"
celtic_mix,celtic:lefant,lefant,lefant,Hole
celtic_mix,celtic:lethan,lethan,lehan,Broad
celtic_mix,"celtic:liag, liagán","liag, liagán",Leeke,Pillar stone
celtic_mix,"celtic:liag, liagán","liag, liagán",Legan,Pillar stone
celtic_mix,celtic:liagach,liagach,legagh,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:llannerch,llannerch,Llanerch,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:llech,llech,lech,"Marking stone, Rock, Stone, Stony"
celtic_mix,celtic:llyn,llyn,Lin,Lake
celtic_mix,celtic:llyn,llyn,Llyn,Lake
celtic_mix,celtic:lobh,lobh,Lov,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:loinge,loinge,long,"Boat, Ship"
celtic_mix,celtic:luachar,luachar,Lear,Rushes
celtic_mix,celtic:luachar,luachar,Leuchar,Rushes
celtic_mix,celtic:luachar,luachar,Loughros,Rushes
celtic_mix,celtic:luimneach,luimneach,Limerick,"Bald, Bare, Dilapidated, Empty"
celtic_mix,celtic:lára,lára,lara,"Foal, Horse, Stud"
celtic_mix,celtic:léith,léith,leagh,Gray
celtic_mix,celtic:lïss,lïss,Leece,"Chief house, Court, Hall"
celtic_mix,celtic:lïss,lïss,Lis,"Chief house, Court, Hall"
celtic_mix,celtic:lïss,lïss,Liz,"Chief house, Court, Hall"
celtic_mix,celtic:lïss,lïss,Llys,"Chief house, Court, Hall"
celtic_mix,celtic:lôn,lôn,lon,"Lane, Path, Road, Street, Track, Way"
celtic_mix,celtic:lúan,lúan,Yan,"Lamb, Ram, Sheep"
celtic_mix,celtic:lúan,lúan,loon,"Lamb, Ram, Sheep"
celtic_mix,celtic:maegthe,maegthe,Mag,Mayweed
celtic_mix,celtic:maegthe,maegthe,May,Mayweed
celtic_mix,celtic:maen,maen,Maen,"Bell, Place"
celtic_mix,celtic:maen,maen,faen,"Bell, Place"
celtic_mix,celtic:maighean,maighean,Moyne,"Area, District, Domain, Land, Precinct, Quarter, Ward"
celtic_mix,celtic:mainistir,mainistir,Monaster,"Abbey, Chapel, Church, Monastery, Temple"
celtic_mix,celtic:mawr,mawr,Mawr,"Big, Great, Large"
celtic_mix,celtic:mawr,mawr,fawr,"Big, Great, Large"
celtic_mix,celtic:mawr,mawr,mawr,"Big, Great, Large"
celtic_mix,celtic:mbarc,mbarc,mbarc,"Boat, Ship"
celtic_mix,celtic:mbard,mbard,mard,Bard
celtic_mix,celtic:meal,meal,Maul,Knoll
celtic_mix,celtic:medd,medd,medd,Mead
celtic_mix,celtic:medon,medon,Med,Middle
celtic_mix,celtic:meáin,meáin,maan,Middle
celtic_mix,celtic:mhaoil,mhaoil,mhaoil,Strait
celtic_mix,celtic:mhaol,mhaol,Mal,"Bald, Bare, Dilapidated, Empty"
celtic_mix,celtic:mhaol,mhaol,Meel,"Bald, Bare, Dilapidated, Empty"
celtic_mix,celtic:mhaol,mhaol,moyle,"Bald, Bare, Dilapidated, Empty"
celtic_mix,celtic:mhara,mhara,varra,"Salt water, Sea"
celtic_mix,celtic:mharga,mharga,mharga,"Market, Merchant, Trading area"
celtic_mix,celtic:mheithean,mheithean,mihin,Saplings
celtic_mix,celtic:mhuine,mhuine,Money,Thicket
celtic_mix,celtic:mhuine,mhuine,money,Thicket
celtic_mix,celtic:mhín,mhín,meen,"Sleek, Smooth"
celtic_mix,celtic:mhòr,mhòr,mor,"Big, Great, Large"
celtic_mix,celtic:mhòr,mhòr,more,"Big, Great, Large"
celtic_mix,celtic:micel,micel,Mick,"Big, Great, Large"
celtic_mix,celtic:micel,micel,Mickle,"Big, Great, Large"
celtic_mix,celtic:migh,migh,Meg,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:migh,migh,Mei,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:migh,migh,miglo,"Bog, Marsh, Marshy, Mire, Moor, Quagmire, Swamp"
celtic_mix,celtic:mocc,mocc,Muck,"Boar, Hog, Pig, Pig sty"
celtic_mix,celtic:mocc,mocc,mock,"Boar, Hog, Pig, Pig sty"
celtic_mix,celtic:mocc,mocc,muck,"Boar, Hog, Pig, Pig sty"
celtic_mix,celtic:muclaí,muclaí,muckly,"Boar, Hog, Pig, Pig sty"
celtic_mix,celtic:muileann,muileann,vullen,"Mill, Quern, Water-wheel, Windmill"
celtic_mix,celtic:muiríoch,muiríoch,Mureagh,Beach
celtic_mix,celtic:murúch,murúch,Murroogh,Beach
celtic_mix,celtic:mynach,mynach,mynach,Monk
celtic_mix,celtic:mynach,mynach,mynech,Monk
celtic_mix,celtic:málainn,málainn,Mal,"Brow, Ridge"
celtic_mix,celtic:mám,mám,Maam,"Mountain pass, Pass"
celtic_mix,celtic:mám,mám,Maum,"Mountain pass, Pass"
celtic_mix,celtic:mòr,mòr,mor,Town
celtic_mix,celtic:móta,móta,Moate,"Ditch, Moat, Water channel"
celtic_mix,celtic:mönïth,mönïth,Min,"Mountain, Peak, Summit"
celtic_mix,celtic:māwe,māwe,mow,"Glade, Meadow, Woodland clearing"
celtic_mix,celtic:nead,nead,Ned,Nest
celtic_mix,celtic:nectona,nectona,nethy,"Clean, Clear, Pure"
celtic_mix,celtic:ngédh,ngédh,Gay,Goose
celtic_mix,celtic:nua,nua,noo,New
celtic_mix,celtic:nua,nua,nua,New
celtic_mix,celtic:nás,nás,Naas,"Assembly, Council, Meeting place"
celtic_mix,celtic:núir,núir,Nure,Yew tree
celtic_mix,celtic:núir,núir,nure,Yew tree
celtic_mix,celtic:odharna,odharna,Ourna,"Brown, Dun-colored"
celtic_mix,celtic:odharna,odharna,ore,"Brown, Dun-colored"
celtic_mix,celtic:odn,odn,Onn,Kiln
celtic_mix,celtic:oirthir,oirthir,irrer,East
celtic_mix,celtic:pailís,pailís,Pallas,Stockade
celtic_mix,celtic:pailís,pailís,Pallis,Stockade
celtic_mix,celtic:perta,perta,Perth,Thicket
celtic_mix,celtic:phoill,phoill,foyle,"Pond, Pool"
celtic_mix,celtic:phraisce,phraisce,frask,Kale
